date,fire_frp_sum,fire_frp_sum_tomorrow,wind_speed,wind_dir,pm25,latitude,longitude
2025-01-01,1399.4,4478.8,3.8856654,327.33905,35.37222222222223,34.08663122280545,-118.23715344444446
2025-01-02,4478.8,886.1,3.4388947,328.81516,18.8,34.11124900055662,-118.24442209090908
2025-01-03,886.1,3397.8,9.292255,180.32007,19.581818181818182,34.11124900055662,-118.24442209090908
2025-01-04,3397.8,3088.0,10.182337,114.59477,21.90666666666667,34.09503606719143,-118.24118733333333
2025-01-05,3088.0,997.6,5.318383,351.86996,13.633333333333333,34.09028341724969,-118.24077916666666
2025-01-06,997.6,84.8,6.330782,90.00001,11.416666666666666,34.09028341724969,-118.24077916666666
2025-01-07,84.8,173.0,11.440979,215.12216,15.438888888888888,34.08663122280545,-118.23715344444446
2025-01-08,173.0,2121.1,29.335579,285.5779,38.054545454545455,34.08536827336329,-118.27627181818183
2025-01-09,2121.1,2409.1,20.65848,315.80685,38.59090909090909,34.08536827336329,-118.27627181818183
2025-01-10,2409.1,846.5,9.5535755,5.617521,29.566666666666666,34.09503606719143,-118.24118733333333
2025-01-11,846.5,570.8,10.897063,80.2868,18.641666666666666,34.09028341724969,-118.24077916666666
2025-01-12,570.8,889.3,10.8792095,297.3776,11.825000000000001,34.09028341724969,-118.24077916666666
2025-01-13,889.3,202.79999999999998,11.236671,212.32439,7.557894736842105,34.07468547428272,-118.23523521052633
2025-01-14,202.79999999999998,1332.7,10.948973,12.011493,8.791666666666666,34.09028341724969,-118.24077916666666
2025-01-15,1332.7,489.9,9.939196,310.6012,9.466666666666667,34.09028341724969,-118.24077916666666
2025-01-16,489.9,1787.3,10.601679,315.72507,9.893333333333334,34.09503606719143,-118.24118733333333
2025-01-17,1787.3,2347.6,9.7565975,105.461266,11.441666666666668,34.09028341724969,-118.24077916666666
2025-01-18,2347.6,1095.9,6.279395,109.148224,16.75,34.09028341724969,-118.24077916666666
2025-01-19,1095.9,4187.1,9.396275,235.27525,21.526315789473685,34.07468547428272,-118.23523521052633
2025-01-20,4187.1,1637.7,9.044888,70.09154,12.6,34.09028341724969,-118.24077916666666
2025-01-21,1637.7,2100.6,9.0018,50.9784,7.2749999999999995,34.09028341724969,-118.24077916666666
2025-01-22,2100.6,450.4,8.452336,17.402712,8.714285714285714,34.09706792907111,-118.24220928571428
2025-01-23,450.4,446.3,8.656858,218.38655,9.808333333333334,34.09028341724969,-118.24077916666666
2025-01-24,446.3,861.5,9.54679,30.963669,6.8,34.09028341724969,-118.24077916666666
2025-01-25,861.5,1177.1,16.454994,137.4141,10.947368421052632,34.07468547428272,-118.23523521052633
2025-01-26,1177.1,1528.7,13.339445,126.53468,4.933333333333334,34.09028341724969,-118.24077916666666
2025-01-27,1528.7,2208.5,11.7,87.79088,5.708333333333333,34.09028341724969,-118.24077916666666
2025-01-28,2208.5,5494.3,9.939196,48.277718,11.379999999999999,34.09503606719143,-118.24118733333333
2025-01-29,5494.3,10153.4,7.4346757,91.261826,11.490909090909092,34.11124900055662,-118.24442209090908
2025-01-30,10153.4,11311.1,8.827344,91.250725,13.883333333333333,34.09028341724969,-118.24077916666666
2025-01-31,11311.1,4671.3,6.638072,263.68668,16.44736842105263,34.07468547428272,-118.23523521052633
2025-02-01,4671.3,1355.0,8.43699,217.01073,16.566666666666666,34.09028341724969,-118.24077916666666
2025-02-02,1355.0,4813.3,6.873078,125.589066,22.700000000000003,34.09028341724969,-118.24077916666666
2025-02-03,4813.3,1301.3,9.085988,209.02216,16.546666666666667,34.09503606719143,-118.24118733333333
2025-02-04,1301.3,2115.9,9.028754,170.77179,6.966666666666666,34.09028341724969,-118.24077916666666
2025-02-05,2115.9,4780.9,10.8792095,124.627914,4.358333333333333,34.09028341724969,-118.24077916666666
