date,forecasted_pm25
2026-01-04,8289.748669296652
2026-01-11,16109.726498739641
2026-01-18,13228.361153551059
2026-01-25,7174.923382592371
2026-02-01,6517.661599543333
2026-02-08,16840.140382827776
2026-02-15,28943.726476204345
2026-02-22,23418.03308922804
2026-03-01,23416.663135063125
2026-03-08,23866.39839106507
2026-03-15,14820.42910512002
2026-03-22,13692.530151592053
2026-03-29,32023.930504476735
2026-04-05,15872.37852590977
2026-04-12,8545.264697873452
2026-04-19,650.6207472860908
2026-04-26,7616.3787062510855
2026-05-03,4447.939374462717
2026-05-10,4805.092372807661
2026-05-17,264.13764738719965
2026-05-24,-265.6331029205427
2026-05-31,-2993.79812977242
2026-06-07,5889.328782409139
2026-06-14,7293.533370988075
2026-06-21,10608.337251480292
2026-06-28,9220.097032868605
2026-07-05,13636.928747932749
2026-07-12,-1517.5559816123734
2026-07-19,-5226.105957121158
2026-07-26,4591.365471994742
2026-08-02,12675.060061525648
2026-08-09,7383.184568314121
2026-08-16,5028.344577297448
2026-08-23,-3396.6562950591883
2026-08-30,-10877.854334453907
2026-09-06,1122.1389127744105
2026-09-13,1226.068054162188
2026-09-20,-7929.6967110217365
2026-09-27,-2946.6152606550286
2026-10-04,21582.304602357417
2026-10-11,-4132.787578658444
2026-10-18,-1845.5428528437164
2026-10-25,-3818.856526726495
2026-11-01,-257.45302518186634
2026-11-08,16611.938809621224
2026-11-15,39025.478256503244
2026-11-22,25237.90846891012
2026-11-29,24335.81158697702
2026-12-06,6216.036379098773
2026-12-13,12318.993980268819
2026-12-20,9681.070963867414
2026-12-27,14815.763667905938
